Âlinga-svænsk	Allinge-svensk
iva	øje
øja	øje
hæst	hest
sâg	sag
huz	hus
huzen	husene
hæsta	heste
sâgar	sager
huz	huse
skâww	skov
tima	timer
skâwwa	skove
jâ	jeg
bińńer	binder
vi	vi
bińńa	binde
bânt	bundet
bonne	bundet
Borrinjholmsk	Bornholmsk
jyjl	jul
ikkje	ikke
Jyjla	jule
sânga	sange
enj	en
to	to
træ	tre
fira	fire
fæm	fem
sajs	seks
sju	syv
åta	otte
ni	ni
ti	ti
ælua	elleve
tâl	tolv
trætan	tretten
fjaurtan	fjorten
fæmtan	femten
sajstan	seksten
søtan	sytten
atan	atten
nøtan	nitten
tyva	tyve
træva	tredive
fåra	fyrre
haltrøs	halvtreds
trøs	tres
halfjærs	halvfjerds
fers	firs
halfæms	halvfems
honrada	hundrede
tuzen	tusind
.	.
,	,
!	!
Kjuenhawn   København
