âba	abe
âga	køre
agga	drille
agorka	agurk
ajl	alt
ajlse	altså
ajt	hensigt
ajta	adlyde
akkorât	lige
alja	gylle
alje	alle
allri	aldrig
allti	altid
âlmingen	almindingen
alt	allerede
ambostuer	forpustet
amma	ligne
andesgår	forgårs
anjelens	anderledes
anjstâ	andensteds
ansajt	ansigt
ansedd	anset
antererd	forbløffet
appârta	mærkelig
appârta	særlig
arbarmelia	gudsjammerlig
arbja	arbejde
ârnâga	arnager
arri	arrig
arri	vred
ârtelihe	artig
astâ	afsted
âu	også
âuerhatt	overstået
aul	husmandssted
aula	pløje
âvisstøkkjer	avisartikler
awtan	aften
âza	slæbe
adsäwijn	gerrig
adsäwijn	grisk
aftan	awtan
agene	køren
agene	kørsel
agersölkje	valmue
agersölkje	kornrose
aisijng	tilhold
akselivång	korndriver
al	ægte
al	rigtig
alâ	ægte
alâ	rigtig
allara	herligt
allara	superb
allara	beundring
anakjökk	stakåndet
anmoda	anmode
antâ	antage
arribigga	arrig kvinde
arrja	ærgre
arrja	ærgeligt
avijllaträ	æbletræ
avijlla hâwa	frugthave med æbletræ
aggenant	prægtig
akkerdera	aftale
akkerdera	forhandle
allians	gode venner
ammelit	passende
ânatrækkj	åndedræt
âria	usikker fortælling
âuanvænnes	oppe efter sygepleje
âvansfujl	fuld af skøre idéer
âvijl	æbletræ
bâ	bade
bâga	bage
bakkasvâla	digesvale
ballra	kvinde, der råber og bruger grove ord
ballrada	stort spektakel, skrald, dunder
bardus	hovedkulds, pludselig
bârfittes	barfodet
barkenaroa	gulerod
barnsli	barnlig
bâza	leder, chef
befænjd	smittet
begjejnelse	begivenhed
begjejnelse	hændelse
behava	synes om
behawa	beghage
beladinj	forlegen
besje	besked
betroninjs	kredit
bia	vente
bidda	stykke, bid af brød eller andet
binja	binde
bjabba	kæfte op
bjæda	bed
bjælan	lille galsindet hund
bjælan	snakkesalig sur kone
bjær	bjerg
bjæra	bjerge, redde
blâ	blad
blâd	blad, avisen
blârar	skinner / stikker i øjnene
blârar	skinne f.eks solen
blo	blod
bloj	bly, undseelig
blojer	bly, undseelig
blojes	skamme sig
blomma	blomst
blossa	blusse
blynkja	blinke
blædda	kokasse / kolort
blæj	bleg
blæjer	bleg
blæjfissinj	blegnæbbet
blåkujla	bloksbjerg
bo	butik
bobba	trold
bojomfru	ekspeditrice
bojsa	rogn, torske bukser
bojser	bukser
bokjøwt	købt i butik
bonalâs	bondetamp
bonarøssen	rønnebær
bone	bonde
bonn	bund
borkj	birk - træ
bortafrå	udenøs (tilflytter)
bossinj	hoved
bossinj	rester af halm / korn
bosta	børste
brâgara	en stor mand
brân	brand
brânter	stejl
bravâs	skrammel, affald
bro	gnide, gnubbe
broer	gnider
bruasænj	brudeseng
bruggla	krølle sammen
bryggja	brygge f.eks øl
bræ	bræt
brø	brød
brøgg	brug
brøggluer	krøllet
brøsoppa	øllebrød
brøssokker	bolsje
brånj	brønd
byjlenbær	blåbær
byskâga	kage
bæjluer	nøgen
bæjluer	skaldet
bækkjastar	solsort
bäla	lune sig
bælla	børn
bælli	barn
bællaajtu	barnagtig
bænkavæjln	ret af ugens mad rester
bænkj	bænk
bær	bedre
bæra	bære
bæsinj	storm med sne og slud
bøja	gnaven
bølinj	pokker
bøja	fornærmet
bølinj	fanden
bølja	bølge
bånge	bange
bønj	by
bläja	blege
bläjfysa	kvinde med blegt, og dårligt udseende
blãjfysing	mand med blegt og dårligt udseeende
blärbögg	tykvom, forædt mand eller dreng
botta	fladfisk
bramma	gøre sig til, bryste sig
brommelbâr	brombær
bråsvalpad	brat, pludselig
byjllamoer	hvid prik i en byld/bums
bällatid	barndom, børneår
bällakjyla	et lavt og tykt barn
böggsula	liden meget tyk forædt kvinde eller pige
böser	ond, slem, gal
bâgdâna	være forsinket
bâgrim	tilbagegang
bajtu	broget
bajtuer	broget
bâliven	store, udstående øjne
barnleja	mad til barselkone
barnost	frygteligt (vejr)
basku  (er)	gråblakket (om ko)
begje	opgive noget
bemømminj	behændig
bjabba	kæfte op
bjæde	stykke jord i have
bjøgg	byg (kornsort)
ble te viners	blive til spot
blåkujlla	høj i østerlars
bojden	på landet
broinjkjætta	troldtøj
bromla	ko, der opfører sig som en tyr
brætt smorr	smeltet smør
bunkalaw	at bo i kollektiv
byssje	seng
bæjlu	nøgen fugleunge
bæjluer	nøgen fugleunge
bæzinj	ondt vejr
bølk	halvvæg i loen
bømpestælinj	sted i lensgårdsskoven
dâ (ejn)	dag
dajs	klokken
dalrar	dingler
